"Target","Path","GB","Note"
"KuGou_tp2p","C:\KuGou\Temp\tp2p","0","MISSING"
"C_tmp_chrome","C:\temp","1444366473286.3","OK"
"AdsPower_cache","C:\.ADSPOWER_GLOBAL\cache","19840874907.6","OK"
"Gradle_caches","C:\Users\lenovo\.gradle\caches","263737354174553","OK"
"npm_cache","C:\Users\lenovo\AppData\Local\npm-cache","145068796459191","OK"
"pnpm_cache","C:\Users\lenovo\AppData\Local\pnpm-cache","89994473351.45","OK"
"pip_cache","C:\Users\lenovo\AppData\Local\pip","7937673608328.23","OK"
"NuGet_cache","C:\Users\lenovo\AppData\Local\NuGet","14730693919.74","OK"
"M2_repo","C:\Users\lenovo\.m2\repository","31836781037.83","OK"
"dot_cache","C:\Users\lenovo\.cache","181157839036967","OK"
"WinUpdate_download","C:\Windows\SoftwareDistribution\Download","187614578.89","OK"
"LocalAppData_Temp","C:\Users\lenovo\AppData\Local\Temp","6082556551816.96","OK"
"Windows_Temp","C:\Windows\Temp","0","ERR"
"CbsTemp","C:\Windows\CbsTemp","0","OK"
"Prefetch","C:\Windows\prefetch","0","ERR"
"RecycleBin","C:\$Recycle.Bin","2852706315985.95","OK"
"leidian9_docs","C:\Users\lenovo\Documents\leidian9","14624782984.18","OK"
"leidian14_docs","C:\Users\lenovo\Documents\leidian14","56014.03","OK"
"miniconda_pkgs","C:\Users\lenovo\miniconda3\pkgs","141594955711815","OK"
"conda_cache","C:\Users\lenovo\.conda","106","OK"
"Claude_dir","C:\Users\lenovo\.claude","2421615014411.69","OK"
"DSH_dir","C:\Users\lenovo\.dsh","1780020680195.92","OK"
"AVD","C:\Users\lenovo\.android\avd","0","OK"
"PackageCache","C:\ProgramData\Package Cache","266839639496665","OK"
"mitmproxy","C:\Users\lenovo\.mitmproxy","873.67","OK"
"Playwright_browsers","C:\Users\lenovo\AppData\Local\ms-playwright","7109502691434.48","OK"
"Everything","C:\Users\lenovo\AppData\Local\Everything","50268145780.78","OK"
"CrashDumps","C:\Users\lenovo\AppData\Local\CrashDumps","42218798262.37","OK"
"Bytedance","C:\Users\lenovo\AppData\Local\Bytedance","36575.27","OK"
