"Target","Path","Bytes","GB","Note"
"PackageCache","C:\ProgramData\Package Cache","2865168812","2.67","OK"
"Gradle_caches","C:\Users\lenovo\.gradle\caches","2831858277","2.64","OK"
"dot_cache","C:\Users\lenovo\.cache","1945167485","1.81","OK"
"npm_cache","C:\Users\lenovo\AppData\Local\npm-cache","1557664341","1.45","OK"
"miniconda_pkgs","C:\Users\lenovo\miniconda3\pkgs","1520364260","1.42","OK"
"pip_cache","C:\Users\lenovo\AppData\Local\pip","852301213","0.79","OK"
"Playwright_browsers","C:\Users\lenovo\AppData\Local\ms-playwright","763377038","0.71","OK"
"LocalAppData_Temp","C:\Users\lenovo\AppData\Local\Temp","653109536","0.61","OK"
"RecycleBin","C:\$Recycle.Bin","306307309","0.29","OK"
"Claude_dir","C:\Users\lenovo\.claude","260018932","0.24","OK"
"DSH_dir","C:\Users\lenovo\.dsh","191128265","0.18","OK"
"C_tmp_chrome","C:\temp","155087669","0.14","OK"
"pnpm_cache","C:\Users\lenovo\AppData\Local\pnpm-cache","96630829","0.09","OK"
"Everything","C:\Users\lenovo\AppData\Local\Everything","53975010","0.05","OK"
"CrashDumps","C:\Users\lenovo\AppData\Local\CrashDumps","45332089","0.04","OK"
"M2_repo","C:\Users\lenovo\.m2\repository","34184483","0.03","OK"
"AdsPower_cache","C:\.ADSPOWER_GLOBAL\cache","21303977","0.02","OK"
"NuGet_cache","C:\Users\lenovo\AppData\Local\NuGet","15816962","0.01","OK"
"leidian9_docs","C:\Users\lenovo\Documents\leidian9","15703241","0.01","OK"
"WinUpdate_download","C:\Windows\SoftwareDistribution\Download","2014496","0","OK"
"KuGou_Temp","C:\KuGou\Temp","-1","0","MISSING"
"mitmproxy","C:\Users\lenovo\.mitmproxy","9380","0","OK"
"AVD","C:\Users\lenovo\.android\avd","0","0","OK"
