"Name","SizeMB","Samples"
"{040968FA-1B35-4ca1-8B2F-ADA177306579}.tmp","0","Plugin | Themes | Utils"
"{3525C0EF-25DF-4bca-9FC3-68CA50BE7661}.tmp","0","game | Plugin | Themes | Utils"
"{3FF3E013-D2F3-4031-B677-C3C7EC491A9B}.tmp","0","Plugin | Themes | Utils"
"{EAA81A88-FBD6-4bfd-8F13-223DBC8BA449}.tmp","0","game | Hardware | Plugin | SuperApp | Themes"
"{F8FB1937-2539-4b0f-846B-C62B46077AFA}.tmp","0","game | Plugin | SuperApp | Themes | Utils"
"{FEA82DEB-113B-4220-9654-0540CFDD8DD7}.tmp","0","Plugin | sweeper | Themes | Utils"
"「开始」菜单","-1",""
"Alibaba","0","AlibabaProtectDT"
"Application Data","-1",""
"A-Volute","29.8","A-Volute.Nahimic | Archives"
"AVS4YOU","0","Licence"
"boost_interprocess","1260.8","07000000_7D060000 | 07000000_E6050000 | 11000000_61060000 | 11000000_68060000 | 11000000_93060000"
"Claude","0","Logs"
"dbg","0",""
"Documents","-1",""
"fastpdf","0","common"
"Huorong","165.6","Sysdiag"
"Intel","27.9","GCC | Intel Extreme Tuning Utility"
"IObit","160.3","IObit Uninstaller | IObitRtt | Install.ini | iobitpromotion.ini | RCDate.ini"
"iTop","0","BkListData | iTop Data Recovery | iTop Screen Recorder | AUpdate.ini | EventPromote.ini"
"kdesk","0","data | kich80"
"Kingsoft","0.2","kis | kvip"
"KuaiWan","1.8","advertisement | Application | ico | Jpgs | png"
"KuGou","24.3","KuGou8 | startup_record"
"leigod_person_7012","8.5","sslproxy"
"Lenovo","3116.3","AIAgent | devicecenter | EULA | FnHotkeyUtility | GamingAI"
"lxwp","0","data"
"lxwpDump","0","dpcore"
"Microsoft","1788.8","ClickToRun | Crypto | Device Stage | DeviceSync | Diagnosis"
"Microsoft DevDiv","0","Installation"
"Microsoft OfficePLUS","0","addin | Common | MSOfficePLUS-SampleConfig | MSOPAU.dat | PrivacySetting.json"
"Microsoft OneDrive","0","setup"
"Microsoft Visual Studio","0","MachineStorage.dat | MachineStorage.dat.bak"
"Nahimic","0","render.txt"
"NVIDIA","2","NGX | DisplaySessionContainer1.log | DisplaySessionContainer1.log_backup1 | DisplaySessionContainer10.log | DisplaySessionContainer10.log_backup1"
"NVIDIA Corporation","21.9","DisplayDriverRAS | Drs | GameSessionTelemetry | NvProfileUpdaterPlugin | NvStreamSrv"
"obs-studio","0.3","shader-cache"
"obs-studio-hook","0.5","graphics-hook32.dll | graphics-hook64.dll | obs-vulkan32.json | obs-vulkan64.json"
"Oracle","0",""
"Oray","58.4","SunloginClient | Webview2"
"OrayClient","0","sensors"
"Package Cache","2732.4","{00C938FD-DD6B-91EE-6AAD-F0BD079AA134}v10.1.26100.4654 | {00CD7BFC-A0C3-FBB2-2FA6-0BA72E4B6EE2}v10.1.26100.7175 | {01933586-56BC-4722-D8AB-59F2A24C90EE}v10.1.26100.7175 | {0343A2EB-5CCA-79B9-18A4-ABD484A97924}v10.1.26100.7705 | {0356B930-6F52-CB89-DE6A-B3C42023167A}v10.1.26100.4654"
"Packages","-1",""
"ProductData3","0","iu | NewsStatV2.db | NewsStatV2.ini | NewsStatV2.po | StatCache3.db"
"Realtek","0.9","BTDevManager.log | BTDevManager_sub.log"
"regid.1991-06.com.microsoft","0","regid.1991-06.com.microsoft_Windows-10-Home-China.swidtag"
"Rockstar Games","0","Launcher | Social Club"
"SGAIAssistant","113.4","Browser | Log | OCR | SRCache | app_wl"
"SoftwareDistribution","0",""
"SogouInput","286.2","cache | Components | conf | imepop | rarecc"
"ssh","0",""
"Templates","-1",""
"Tencent","16.9","qimei | QQPCMgr | valorant.live | WeChat | WeMail"
"Thunder Network","0","DownloadLib"
"tianxiang","0","qone"
"USOPrivate","27.2","ExpeditedAppRegistrations | Providers | UpdateStore"
"USOShared","78.9","Logs"
"VMware","0.1","logs | VMware KVM | VMware USB Arbitration Service | VMware Workstation | vnckeymap"
"Whesvc","8.7","aifabric_usage_summary | app_crashes_summary | perftrack_summary | pool_tags_summary | sleep_study"
"Windows App Certification Kit","1.6","cs-cz | de-de | en-us | es-es | fr-fr"
"xfolder","0","checkpoint.dat"
"桌面","-1",""
