"Name","SizeMB","Samples"
"360GameAssistant","0",""
"AccountCenter","15.1","ac.dat | AccountCenter.log | config.ini | lastuserinfo.set | miduserinfo.set | online.set"
"AccountSDKMG","0",""
"adbk_pp","0",""
"Adobe","0","Flash Player"
"adspower_global","602.4","blob_storage | Cache | Code Cache | Crashpad | cwd_global | DawnGraphiteCache"
"AirAloneChat1","0","#airversion"
"AirLobbyPreloader","31.5","Local Store"
"AVS4YOU","14.4","AVSVideoEditor"
"baidu","10077","BaiduNetdisk | BaiduYunKernel"
"baidunetdisk","1862.4","baiduyunguanjia | blob_storage | Cache | chrome_drag123600_418129369 | chrome_drag26944_1404112254 | chrome_drag26944_1940639989"
"BaiduYunGuanjia","12.8","AppData | BaiduYunKernel | logs | 175034829447884F618C.dat | 175411498997D6F56597.dat | 1754720787529B078FB1.dat"
"BaiduYunKernel","4.3","Config | Data"
"bdtpi","0","config.ini"
"BinDiff","0","bindiff.json"
"BRD","6.5","wwqy"
"BtLog","0",""
"BytertcLog","1","Config | lock | prepare"
"CadViewerDataVE","0","Dump | log | UserData"
"cdheheyoudun","0","alice.set"
"cfpixeleditor","0","bg_template"
"changzhi2","0",""
"Charles","2.8","data | charles.config"
"chat_pp","0","chat_config.ini"
"Clash Plus","50.7","Clash Plus"
"Claude","56.5","blob_storage | Cache | claude-code-sessions | Code Cache | Crashpad | DawnGraphiteCache"
"cleanball","0","config.ini"
"Code","3860.2","agent-host | agentSessionData | Backups | blob_storage | Cache | CachedConfigurations"
"com.ccswitch.desktop","0",".window-state.json | app_paths.json"
"common_pp","0","common_config.ini | common_stat_config.ini | pp_config.ini"
"Coze","466.6","aha | ahanet | blob_storage | Cache | Code Cache | Crashpad"
"Cursor","3.9","Backups | blob_storage | Cache | CachedData | CachedProfilesData | Code Cache"
"cxstudy","218.7","blob_storage | Cache | Code Cache | cxfiles | DawnGraphiteCache | DawnWebGPUCache"
"Deep Uninstaller","0","config.ini | normal_softs.dat | soft_junk.dat | usercenter.set | user_avatar_big.png | user_avatar_small.png"
"Deepseek-Harness-Desktop","1913.6","blob_storage | Cache | Code Cache | DawnGraphiteCache | DawnWebGPUCache | Dictionaries"
"Doubao","0","public_config.json"
"downloader","0","downloader.log | downloading.ini"
"dsh-desktop","13.7","blob_storage | Cache | Code Cache | DawnGraphiteCache | DawnWebGPUCache | Dictionaries"
